Days_TA_AVG,Feature,Days_TA_DSV,Days_Early_AVG,Importance
20.152173913043477,AC,10.395407674385583,20.282608695652176,9.530967450477323e-05
24.0,AL,11.654837633986997,7.69634703196347,0.0007572985060541493
25.95808383233533,AM,13.315609688122578,18.832335329341316,0.00019067018270948476
27.621951219512194,AP,26.516540490843244,17.670731707317074,7.148055820471733e-05
18.680884265279584,BA,11.334400651806229,10.05149544863459,0.016608633631465808
20.195813639432817,CE,12.634444929586728,10.444969615124915,0.003229375920466815
12.492699207342511,DF,7.325519753880566,11.160200250312892,0.006160852749852031
15.076719576719576,ES,9.374920103612519,9.789241622574956,0.005399891904238929
14.789154013015184,GO,8.760596977195243,11.445986984815619,0.00630858653800428
21.090346534653467,MA,10.979444842501353,9.022277227722773,0.0018793357344886186
11.480753233003101,MG,7.03536484274726,12.392876049308024,0.03796681079558299
15.064516129032258,MS,7.431546952451956,10.231780167264038,0.001913785676697244
17.410377358490567,MT,8.026660359924024,13.512264150943397,0.002162700408482854
23.023651844843897,PA,12.935899978057563,13.49763481551561,0.002444235742020018
19.94710743801653,PB,10.20601590528683,12.241322314049587,0.0012919071613488819
17.7043429844098,PE,10.6341020295451,12.597438752783964,0.003978033941093928
18.87615526802218,PI,14.16756222025286,10.499075785582255,0.0013054122721515738
11.496545768566493,PR,6.970726130558191,12.498445595854923,0.015396803458017926
14.722001097996158,RJ,11.24020044281444,11.08029096898161,0.07284789534458251
19.22242314647378,RN,12.942713939422609,12.672694394213382,0.000748478516312967
19.364963503649633,RO,8.105870809096004,18.87956204379562,0.0006055243287374834
27.863636363636363,RR,27.231642768380564,17.5,9.530967450477323e-05
14.676591700981945,RS,9.189846946957665,13.235191637630662,0.015763902997351885
14.384745353608496,SC,8.547121578532188,10.734733285059136,0.009651834945524618
20.777486910994764,SE,15.916620540046777,9.041884816753926,0.0005858941730947809
8.255875219536673,SP,6.733495893269869,10.256983357029355,0.16875488716220535
16.680851063829788,TO,7.453819073849137,11.462006079027356,0.0006479073811775482
